regulatoryGene	targetGene	weight	TF_gene	TF
Nitab4.5_0000287g0240	Nitab4.5_0002612g0100	0.052811308	bZIP	TF
Nitab4.5_0000302g0200	Nitab4.5_0004288g0030	0.052647561	MYB	TF
Nitab4.5_0001962g0080	Nitab4.5_0005622g0070	0.05262357	RWP-RK	TF
Nitab4.5_0001180g0060	Nitab4.5_0003310g0030	0.052594834	HB	TF
Nitab4.5_0001820g0010	Nitab4.5_0004644g0020	0.052560017	MYB	TF
Nitab4.5_0001930g0010	Nitab4.5_0001128g0010	0.052559625	mTERF	TF
Nitab4.5_0000188g0310	Nitab4.5_0016172g0010	0.052533104	NAC	TF
Nitab4.5_0003309g0010	Nitab4.5_0000350g0050	0.052434916	zf-HD	TF
Nitab4.5_0025760g0010	Nitab4.5_0005400g0020	0.052432799	WRKY	TF
Nitab4.5_0007375g0020	Nitab4.5_0001295g0210	0.052431749	WRKY	TF
Nitab4.5_0003309g0010	Nitab4.5_0008527g0010	0.052341569	zf-HD	TF
Nitab4.5_0000287g0240	Nitab4.5_0004147g0050	0.052329267	bZIP	TF
Nitab4.5_0000974g0020	Nitab4.5_0000652g0210	0.052326499	C2C2-CO-like	TF
Nitab4.5_0000178g0130	Nitab4.5_0001960g0060	0.052314027	MYB	TF
Nitab4.5_0011780g0020	Nitab4.5_0009585g0020	0.052261231	bZIP	TF
Nitab4.5_0001428g0140	Nitab4.5_0000316g0100	0.052258674	bZIP	TF
Nitab4.5_0000913g0020	Nitab4.5_0000391g0350	0.052169522	NAC	TF
Nitab4.5_0000989g0080	Nitab4.5_0005511g0010	0.052158056	C2C2-CO-like	TF
Nitab4.5_0000944g0030	Nitab4.5_0001131g0050	0.052098123	C2H2	TF
Nitab4.5_0001930g0010	Nitab4.5_0000024g0130	0.052094966	mTERF	TF
Nitab4.5_0009714g0010	Nitab4.5_0003757g0140	0.052086909	MYB	TF
Nitab4.5_0000497g0200	Nitab4.5_0006069g0010	0.052032256	LIM	TF
Nitab4.5_0000850g0070	Nitab4.5_0001128g0010	0.052008697	G2-like	TF
Nitab4.5_0001930g0010	Nitab4.5_0000100g0280	0.051992677	mTERF	TF
Nitab4.5_0000508g0140	Nitab4.5_0000190g0030	0.051992288	WRKY	TF
Nitab4.5_0000058g0020	Nitab4.5_0003068g0060	0.051930142	AP2-EREBP	TF
Nitab4.5_0001865g0010	Nitab4.5_0010110g0030	0.051907837	HB	TF
Nitab4.5_0009714g0010	Nitab4.5_0004292g0010	0.051880085	MYB	TF
Nitab4.5_0009447g0010	Nitab4.5_0006389g0020	0.051873956	bZIP	TF
Nitab4.5_0001930g0010	Nitab4.5_0001348g0130	0.051839908	mTERF	TF
Nitab4.5_0002182g0080	Nitab4.5_0001833g0010	0.051806859	C2C2-GATA	TF
Nitab4.5_0001180g0220	Nitab4.5_0008661g0050	0.05179759	MYB	TF
Nitab4.5_0003309g0010	Nitab4.5_0010219g0010	0.051783734	zf-HD	TF
Nitab4.5_0011780g0020	Nitab4.5_0002286g0030	0.051772203	bZIP	TF
Nitab4.5_0000188g0310	Nitab4.5_0004278g0010	0.051763966	NAC	TF
Nitab4.5_0002881g0030	Nitab4.5_0001544g0040	0.051734494	bHLH	TF
Nitab4.5_0010053g0010	Nitab4.5_0002568g0010	0.05173303	HB	TF
Nitab4.5_0007571g0020	Nitab4.5_0000280g0010	0.051724705	AP2-EREBP	TF
Nitab4.5_0000284g0090	Nitab4.5_0004981g0050	0.051706061	TAZ	TF
Nitab4.5_0001962g0080	Nitab4.5_0000357g0360	0.051644451	RWP-RK	TF
Nitab4.5_0007387g0010	Nitab4.5_0006701g0020	0.051597776	C3H	TF
Nitab4.5_0005992g0010	Nitab4.5_0000046g0160	0.051580624	WRKY	TF
Nitab4.5_0000173g0120	Nitab4.5_0003221g0040	0.051550461	C2H2	TF
Nitab4.5_0000600g0080	Nitab4.5_0004613g0080	0.05151362	AP2-EREBP	TF
Nitab4.5_0001180g0060	Nitab4.5_0000006g0380	0.051489408	HB	TF
Nitab4.5_0025760g0010	Nitab4.5_0002926g0030	0.051478876	WRKY	TF
Nitab4.5_0000497g0200	Nitab4.5_0004136g0010	0.051444364	LIM	TF
Nitab4.5_0001317g0160	Nitab4.5_0004180g0020	0.051428616	bZIP	TF
Nitab4.5_0005756g0030	Nitab4.5_0003300g0080	0.051401427	bZIP	TF
Nitab4.5_0000850g0070	Nitab4.5_0000083g0250	0.051399194	G2-like	TF
Nitab4.5_0001930g0010	Nitab4.5_0012109g0010	0.051361575	mTERF	TF
Nitab4.5_0001204g0100	Nitab4.5_0005632g0010	0.051335031	NAC	TF
Nitab4.5_0000944g0030	Nitab4.5_0009617g0020	0.051319936	C2H2	TF
Nitab4.5_0003995g0040	Nitab4.5_0000233g0050	0.051299053	C2C2-Dof	TF
Nitab4.5_0000913g0020	Nitab4.5_0000287g0180	0.051292177	NAC	TF
